URL,Series_name,Map,Soil subgroup UK,WRB_correlation_landgis,WRB_correlation_0,WRB_correlation_1,WRB_correlation_2
https://www.landis.org.uk/soilsguide/series.cfm?serno=217,8.52 CHATTERIS (cZ) (217),,2 calcareous humic-alluvial gley soils,Fluvic Calcaric Mollic Gleysols,Calcaric Fluvic Mollic Gleysols,Calcaric Fluvic Mollic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=538,8.12 FRISKNEY (fS) (538),,2 calcareous alluvial gley soils,Arenic Calcaric Salic Fluvisols,"Calcaric Fluvisols (Arenic, Salic)",Calcaric Fluvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=157,3.45 BURWELL (Bn) (157),,5 gleyic rendzinas,Calcaric Gleyic Endoleptic Regosols,Calcaric Gleyic Endoleptic Regosols,Calcaric Gleyic Endoleptic Regosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=145,3.73 BRIMPTON (bP) (145),,3 humic gleyic rendzina-like alluvial soils,Thaptohistic Limnic Calcaric Mollic Gleyic Fluvisols,"Calcaric Gleyic Fluvisols (Limnic, Mollic,Thaptohistic)  ",Calcaric Gleyic Fluvisols   ,
https://www.landis.org.uk/soilsguide/series.cfm?serno=233,3.72 COLTHROP (cQ) (233),,2 gleyic rendzina-like alluvial soils,Limnic Calcaric Gleyic Mollic Fluvisols,"Calcaric Gleyic Fluvisols (Limnic, Mollic)",Calcaric Gleyic Fluvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=507,3.45 FORD END (Fe) (507),,5 gleyic rendzinas,Calcaric Gleysols,Calcaric Gleysols,Calcaric Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=204,8.33 CARSWELL (cW) (204),,3 pelo-cambic gley soils,Epiclayic Endoskeletic Calcaric Gleysols,"Calcaric Gleysols (Epiclayic, Endoskeletic)",Calcaric Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=031 ,3.43 ANDOVER (Ac) (31),,3 brown rendzinas,Calcaric Leptosols,Calcaric Leptosols,Calcaric Leptosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=050 ,3.13 ANGLESEY (aZ) (50),,3 brown rankers,Calcaric Leptosols,Calcaric Leptosols,Calcaric Leptosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1206,3.43 MARCHAM (mA) (1206),,3 brown rendzinas,Calcaric Leptosols,Calcaric Leptosols,Calcaric Leptosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1308,3.43 NEWMARKET (Nf) (1308),,3 brown rendzinas,Calcaric Leptosols,Calcaric Leptosols,Calcaric Leptosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1819,3.43 SHERBORNE (Si) (1819),,3 brown rendzinas,Calcaric Leptosols,Calcaric Leptosols,Calcaric Leptosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=425,3.43 ELMTON (eT) (425),,3 brown rendzinas,Calcaric Leptosols,Calcaric Leptosols,Calcaric Leptosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=097,8.72 BLACKDYKE (Bdk) (97),,2 calcareous humic gley soils,Calcaric Mollic Gleysols,Calcaric Mollic Gleysols,Calcaric Mollic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1505,8.72 PEACOCK (Pm) (1505),,2 calcareous humic gley soils,Calcaric Mollic Gleysols,Calcaric Mollic Gleysols,Calcaric Mollic Gleysols,
