number,filename.lst,d.lst
112,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetric.calcisols.esqueletic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetric.Calcisols.Esqueletic_p_
113,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetric.calcisols.hipercalcic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetric.Calcisols.Hipercalcic_p_
114,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetric.calcisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetric.Calcisols.Humic_p_
115,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetric.calcisols.luvic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetric.Calcisols.Luvic_p_
116,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetric.calcisols.sodic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetric.Calcisols.Sodic_p_
117,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetric.durisols.luvic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetric.Durisols.Luvic_p_
118,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetrocalcic.kastanozem.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetrocalcic.Kastanozem.Humic_p_
119,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetrocalcic.phaeozem.calcaric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetrocalcic.Phaeozem.Calcaric_p_
120,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetrocalcic.phaeozem.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetrocalcic.Phaeozem.Humic_p_
121,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/esqueletic.leptosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Esqueletic.Leptosols_p_
122,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/esqueletic.leptosols.aridic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Esqueletic.Leptosols.Aridic_p_
123,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/esqueletic.leptosols.calcaric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Esqueletic.Leptosols.Calcaric_p_
124,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/esqueletic.leptosols.eutric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Esqueletic.Leptosols.Eutric_p_
125,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/esqueletic.leptosols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Esqueletic.Leptosols.Humic_p_
126,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/esqueletic.leptosols.molic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Esqueletic.Leptosols.Molic_p_
127,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/esqueletic.leptosols.rendzic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Esqueletic.Leptosols.Rendzic_p_
128,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.arenosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Arenosols_p_
129,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.brunic.arenosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Brunic.Arenosols_p_
130,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.cambisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Cambisols_p_
131,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.cambisols..humic..loamic._wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Cambisols..Humic..Loamic._p_
132,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.cambisols..loamic._wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Cambisols..Loamic._p_
133,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.chromic.cambisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Chromic.Cambisols_p_
134,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.endoleptic.cambisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Endoleptic.Cambisols_p_
135,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.fluvic.cambisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Fluvic.Cambisols_p_
136,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.fluvisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Fluvisols_p_
137,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.gleysols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Gleysols_p_
138,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.leptic.cambisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Leptic.Cambisols_p_
139,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/eutric.leptosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Eutric.Leptosols_p_
